English,Greek,Spanish,French,Chinese,German,Japanese,Portuguese
water,νερό,agua,eau,水,Wasser,水,água
liquid,υγρό,líquido,liquide,液体,Flüssigkeit,液体,líquido
fountain,πηγή,fuente,source,喷泉,Quelle,泉,fonte
drink,ποτό,bebida,boisson,饮料,Getränk,飲料,bebida
house,σπίτι,casa,maison,房子,Haus,家,casa
home,οικία,hogar,foyer,家,Wohnung,住宅,lar
apartment,διαμέρισμα,apartamento,appartement,公寓,Heim,アパート,apartamento
residence,κατοικία,residencia,résidence,住宅,Residenz,住居,residência
book,βιβλίο,libro,livre,书,Buch,本,livro
album,λεύκωμα,álbum,album,专辑,Album,アルバム,álbum
read,ανάγνωσμα,lectura,lecture,阅读,Lesung,読書,leitura
volume,τόμος,volumen,volume,卷,Band,巻,volume
car,αυτοκίνητο,coche,voiture,车,Auto,車,carro
vehicle,όχημα,vehículo,véhicule,车辆,Fahrzeug,車両,veículo
machine,μηχανή,máquina,machine,机器,Maschine,機械,máquina
wheel,τροχός,rueda,roue,车轮,Rad,車輪,roda
school,σχολείο,escuela,école,学校,Schule,学校,escola
institution,ίδρυμα,institución,institution,机构,Institution,機関,instituição
university,πανεπιστήμιο,universidad,université,大学,Universität,大学,universidade
academy,ακαδημία,academia,académie,学院,Akademie,アカデミー,academia
tree,δέντρο,árbol,arbre,树,Baum,木,árvore
plant,φυτό,planta,plante,植物,Pflanze,植物,planta
shrub,θάμνος,arbusto,arbuste,灌木,Strauch,低木,arbusto
trunk,κορμός,tronco,tronc,树干,Stamm,幹,tronco
dog,σκύλος,perro,chien,狗,Hund,犬,cachorro
animal,ζώο,animal,animal,动物,Tier,動物,animal
pet,κατοικίδιο,mascota,animaldecompagnie,宠物,Haustier,ペット,animaldeestimação
mammal,θηλαστικό,mamífero,mammifère,哺乳动物,Säugetier,哺乳類,mamífero
computer,υπολογιστής,ordenador,ordinateur,计算机,Computer,コンピューター,computador
machine,μηχάνημα,máquina,machine,机器,Maschine,機械,máquina
software,λογισμικό,software,logiciel,软件,Software,ソフトウェア,software
system,σύστημα,sistema,système,系统,System,システム,sistema
phone,τηλέφωνο,teléfono,téléphone,电话,Telefon,電話,telefone
mobile,κινητό,móvil,mobile,手机,Mobilgerät,携帯電話,móvel
device,συσκευή,dispositivo,dispositif,设备,Einrichtung,デバイス,dispositivo
headset,ακουστικό,auricular,casque,耳机,Kopfhörer,ヘッドセット,auricular
city,πόλη,ciudad,ville,城市,Stadt,市,cidade
village,χωριό,pueblo,village,村,Dorf,村,vila
town,κωμόπολη,aldea,bourg,小镇,Kleinstadt,町,povoação
metropolis,μητρόπολη,metrópoli,métropole,大都市,Metropole,大都市,metrópole
